time,DrinkingWaterExtractionPump_Q,DrinkingWaterExtractionPump_Q_target,DrinkingWaterExtractionPump_Q_target_violation,Inflow_Q,LowerChannel.H[1],LowerChannel.H[1]_max,LowerChannel.H[1]_min,LowerChannel.H[1]_target_violation,LowerChannel.H[2],LowerChannel.H[2]_max,LowerChannel.H[2]_min,LowerChannel.H[2]_target_violation,LowerControlStructure_Q,MiddleChannel.H[1],MiddleChannel.H[1]_max,MiddleChannel.H[1]_min,MiddleChannel.H[1]_target_violation,MiddleChannel.H[2],MiddleChannel.H[2]_max,MiddleChannel.H[2]_min,MiddleChannel.H[2]_target_violation,UpperChannel.H[1],UpperChannel.H[1]_max,UpperChannel.H[1]_min,UpperChannel.H[1]_target_violation,UpperChannel.H[2],UpperChannel.H[2]_max,UpperChannel.H[2]_min,UpperChannel.H[2]_target_violation,UpperControlStructure_Q
2013-01-01 16:00:00,1.196223,1.120000,0.000061,3.250000,0.175043,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,1.942842,0.833603,0.850000,0.350000,nan,0.382542,0.850000,0.350000,nan,1.345697,1.350000,0.850000,nan,0.880811,1.350000,0.850000,nan,3.185926
2013-01-01 17:00:00,1.075663,1.260000,0.000061,3.000000,0.149705,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,1.769248,0.805009,0.850000,0.350000,nan,0.429246,0.850000,0.350000,nan,1.327308,1.350000,0.850000,nan,0.936921,1.350000,0.850000,nan,2.895219
2013-01-01 18:00:00,0.910058,1.330000,0.000061,2.500000,0.113248,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,1.484075,0.757247,0.850000,0.350000,nan,0.484954,0.850000,0.350000,nan,1.286439,1.350000,0.850000,nan,1.007957,1.350000,0.850000,nan,2.416203
2013-01-01 19:00:00,0.764935,1.260000,0.000061,2.000000,0.078730,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,1.210925,0.713188,0.850000,0.350000,nan,0.529580,0.850000,0.350000,nan,1.241533,1.350000,0.850000,nan,1.060986,1.350000,0.850000,nan,1.977437
2013-01-01 20:00:00,0.631447,1.120000,0.000061,1.500000,0.048495,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.932774,0.673125,0.850000,0.350000,nan,0.560146,0.850000,0.350000,nan,1.196863,1.350000,0.850000,nan,1.092034,1.350000,0.850000,nan,1.537841
2013-01-01 21:00:00,0.533423,0.980000,0.000061,1.000000,0.029346,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.732198,0.636372,0.850000,0.350000,nan,0.567177,0.850000,0.350000,nan,1.138648,1.350000,0.850000,nan,1.084347,1.350000,0.850000,nan,1.183059
2013-01-01 22:00:00,0.486860,0.840000,0.000061,1.000000,0.021401,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.642413,0.620163,0.850000,0.350000,nan,0.565739,0.850000,0.350000,nan,1.120533,1.350000,0.850000,nan,1.073569,1.350000,0.850000,nan,1.080258
2013-01-01 23:00:00,0.464005,0.700000,0.000061,1.000000,0.018212,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.600127,0.612707,0.850000,0.350000,nan,0.563776,0.850000,0.350000,nan,1.112918,1.350000,0.850000,nan,1.067517,1.350000,0.850000,nan,1.037965
2013-01-02 00:00:00,0.452218,0.630000,0.000061,1.000000,0.016795,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.578906,0.609127,0.850000,0.350000,nan,0.562631,0.850000,0.350000,nan,1.109385,1.350000,0.850000,nan,1.064570,1.350000,0.850000,nan,1.018000
2013-01-02 01:00:00,0.445584,0.560000,0.000061,1.000000,0.016068,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.567157,0.607495,0.850000,0.350000,nan,0.562284,0.850000,0.350000,nan,1.107919,1.350000,0.850000,nan,1.063428,1.350000,0.850000,nan,1.007245
2013-01-02 02:00:00,0.441024,0.490000,0.000061,1.000000,0.015601,0.350000,-0.150000,nan,0.000000,0.350000,-0.150000,nan,0.559165,0.607023,0.850000,0.350000,nan,0.562685,0.850000,0.350000,nan,1.107787,1.350000,0.850000,nan,1.063563,1.350000,0.850000,nan,0.999992
