time,H_max,H_min,Q_in,Q_release,V_max,V_min,V_storage
2013-01-01 01:00:00,0.460000,0.440000,0.000000,0.000000,420860.554886,382552.000845,400000.002423
2013-01-02 01:00:00,0.460000,0.440000,0.720000,0.646300,420860.554886,382552.000845,406367.650182
2013-01-03 01:00:00,0.460000,0.440000,1.150000,1.044374,420860.554886,382552.000845,415493.700581
2013-01-04 01:00:00,0.460000,0.440000,1.440000,1.320677,420860.554886,382552.000845,425803.227559
2013-01-05 01:00:00,0.460000,0.440000,1.680000,1.542642,420860.554886,382552.000845,437670.996671
2013-01-06 01:00:00,0.460000,0.440000,1.870000,2.284700,420860.554886,382552.000845,401840.928800
2013-01-07 01:00:00,0.460000,0.440000,2.030000,2.032717,420860.554886,382552.000845,401606.192290
2013-01-08 01:00:00,0.460000,0.440000,2.170000,2.169817,420860.554886,382552.000845,401621.965952
2013-01-09 01:00:00,0.460000,0.440000,2.290000,2.289894,420860.554886,382552.000845,401631.152916
2013-01-10 01:00:00,0.460000,0.440000,2.400000,2.399903,420860.554886,382552.000845,401639.491872
2013-01-11 01:00:00,0.460000,0.440000,2.500000,2.498624,420860.554886,382552.000845,401758.362052
2013-01-12 01:00:00,0.460000,0.440000,2.590000,2.368794,420860.554886,382552.000845,420870.572485
